Dublin Core:Identifier,upload_url,tags,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Dublin Core:Title,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Rights,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type
zoo_kcz_chimp_ph_00,https://bassettassociates.s3.amazonaws.com/zoo/kcz/chimp/zoo_kcz_chimp_ph_00.tif,"zoo,Kansas City,Africa,chimpanzee",photo,3478 × 2348,Photograph of chimpanzee exhibit from viewing building,"Photograph of the Kansas City Zoo chimpanzee exhibit taken from the viewing shelter, showing chimpanzees and visitors.",Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
zoo_kcz_chimp_ph_01,https://bassettassociates.s3.amazonaws.com/zoo/kcz/chimp/zoo_kcz_chimp_ph_01.tif,"zoo,Kansas City,Africa,chimpanzee",photo,3423 × 2361,Photograph of chimpanzees in exhibit,Photograph of the Kansas City Zoo chimpanzee exhibit showing chimpanzees in their exhibit area.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
zoo_kcz_chimp_sk_00,https://bassettassociates.s3.amazonaws.com/zoo/kcz/chimp/zoo_kcz_chimp_sk_00.tif,"zoo,Kansas City,Africa,chimpanzee",sketch,3478 × 2279,Chimpanzee exhibit cross section,"Cross section color rendering of the Kansas City Zoo chimpanzee exhibit as designed, including the exhibit area and viewing shelter.",James H. Bassett,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
zoo_kcz_chimp_sk_01,https://bassettassociates.s3.amazonaws.com/zoo/kcz/chimp/zoo_kcz_chimp_sk_01.tif,"zoo,Kansas City,Africa,chimpanzee",sketch,3451 × 2334,Artistic sketch of chimpanzee exhibit,"Color artist's sketch of the completed Kansas City Zoo chimpanzee exhibit, showing chimpanzees in the exhibit and visitors in the shelter.",James H. Bassett,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
zoo_kcz_master_pl_00,https://bassettassociates.s3.amazonaws.com/zoo/kcz/master/zoo_kcz_master_pl_00.tif,"zoo,Kansas City,masterplan",plan,2376x3546,Kansas City Zoo masterplan,The Kansas City Zoo masterplan guided a major renovation of the zoo.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_bgu_master_pl_00,https://bassettassociates.s3.amazonaws.com/cmp/bgu/master/cmp_bgu_master_pl_00.tif,"campus,BGSU,masterplan",plan,4332x2778,Bowling Green State University masterplan,Write a description.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_onu_pl_04,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_pl_04.tif,"campus,ONU,map,storm water",plan,3980x2680,Watershed map of Ohio Northern University,"This map shows the watershed in the vicinity of Ada, Ohio and the portions that flow through Ohio Northern University.",Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_onu_pl_01,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_pl_01.tif,"campus,ONU,masterplan",plan,3970x2690,Masterplan for west campus mall of Ohio Northern University,Master plan showing landscaping and the lake in the western part of the Ohio Northern University campus.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_onu_pl_02,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_pl_02.tif,"campus,ONU,masterplan",plan,2611x1717,Masterplan for the western expansion of Ohio Northern University,"Master plan showing landscaping, building placement, playing fields, and stormwater lakes in the expanded western portion of Ohio Northern University.",Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_onu_pl_03,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_pl_03.tif,"campus,ONU,storm water",plan,3980x2670,Drainage concept for west campus of Ohio Northern University,Plan showing drainage patterns in the west campus of Ohio Northern University.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,en,StillImage
cmp_onu_ph_01,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_01.tif,"campus,ONU",photo,1875x1250,View of the campus green of Ohio Northern University,Photo of two pedestrians walking through the landscaped green of Ohio Northern University.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_onu_ph_03,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_03.tif,"campus,ONU,storm water",photo,1875x1250,Fountain in lake of Ohio Northern University,Photo of water spouting from a fountain in the middle of the lake at Ohio Northern University.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_onu_ph_02,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_02.tif,"campus,ONU,sign",photo,1875x1250,Ohio Northern University entry sign,Photo of a person standing next to the entry sign for Ohio Northern University.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_onu_ph_04,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_04.tif,"campus,ONU,fountain",photo,3555x2430,Ohio Northern University fountain,Photo of a fountain at Ohio Norther University with the Performing Arts building in the backaground.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/tiff,,StillImage
cmp_onu_ph_00,https://bassettassociates.s3.amazonaws.com/cmp/onu/cmp_onu_ph_00.jpg,"campus,ONU,storm water",photo,1600x1200,Ohio Northern University lake,Photo of a storm water retention lake at Ohio Northern University.,Bassett Associates,Bassett Associates files,James H. Bassett,,Available under a Creative Commons Attribution 4.0 International (CC BY 4.0) license,image/jpeg,,StillImage
